hybrid_type,count
miRNA-mRNA,359903
mRNA-mRNA,209438
miRNA-pseudogene,81287
mRNA-pseudogene,55624
miRNA-miRNA,50527
pseudogene-pseudogene,27193
kshv-miRNA-mRNA,21749
miRNA-pr-tr,9561
miRNA-kshv-miRNA,7638
kshv-miRNA-pseudogene,6972
mRNA-pr-tr,5134
mRNA-tRNA,4366
miRNA-tRNA,3023
miRNA-miscRNA,2926
pseudogene-tRNA,2456
miRNA-mitoch-rRNA,2025
pr-tr-pr-tr,1980
mRNA-miscRNA,1700
miRNA-snRNA,1591
miRNA-snoRNA,1427
pr-tr-pseudogene,1273
miscRNA-pseudogene,1154
miRNA-lincRNA,1115
mRNA-mitoch-rRNA,891
mRNA-snoRNA,807
lincRNA-mRNA,731
kshv-miRNA-pr-tr,633
pseudogene-snoRNA,585
mRNA-snRNA,577
mitoch-rRNA-pseudogene,554
kshv-miRNA-tRNA,404
kshv-miRNA-kshv-miRNA,392
pseudogene-snRNA,351
lincRNA-pseudogene,242
miscRNA-miscRNA,198
snoRNA-snoRNA,165
kshv-miRNA-miscRNA,154
mitoch-rRNA-mitoch-rRNA,131
tRNA-tRNA,129
kshv-miRNA-snRNA,128
pr-tr-tRNA,125
kshv-miRNA-mitoch-rRNA,93
snRNA-snRNA,92
kshv-miRNA-lincRNA,83
kshv-miRNA-snoRNA,77
lincRNA-lincRNA,64
lincRNA-pr-tr,60
mitoch-rRNA-tRNA,34
miscRNA-pr-tr,34
snRNA-snoRNA,25
snoRNA-tRNA,23
mitoch-rRNA-pr-tr,20
Ig-mRNA,18
pr-tr-snoRNA,18
miscRNA-snoRNA,15
miscRNA-mitoch-rRNA,14
miscRNA-tRNA,10
lincRNA-tRNA,9
mitoch-rRNA-snoRNA,8
mitoch-rRNA-snRNA,7
miRNA-Ig,6
lincRNA-snoRNA,4
lincRNA-mitoch-rRNA,2
lincRNA-miscRNA,2
