hybrid_type,count
miRNA-mRNA,1094267
mRNA-mRNA,683519
miRNA-pseudogene,254526
mRNA-pseudogene,240393
miRNA-miRNA,132781
pseudogene-pseudogene,127348
miRNA-pr-tr,27469
kshv_microRNA-mRNA,26849
mRNA-tRNA,21026
mRNA-pr-tr,19105
pseudogene-tRNA,13186
miRNA-tRNA,9981
miRNA-snRNA,7362
miRNA-miscRNA,7269
pr-tr-pseudogene,6385
pr-tr-pr-tr,6009
mRNA-miscRNA,5645
miRNA-kshv_microRNA,5246
kshv_microRNA-pseudogene,5032
miscRNA-pseudogene,3972
mRNA-snRNA,3801
miRNA-snoRNA,3350
pseudogene-snRNA,3317
miRNA-lincRNA,3222
mRNA-snoRNA,2629
lincRNA-mRNA,2617
pseudogene-snoRNA,2020
snoRNA-snoRNA,1747
lincRNA-pseudogene,1011
miscRNA-miscRNA,949
kshv_microRNA-pr-tr,736
snRNA-snRNA,710
pr-tr-tRNA,427
kshv_microRNA-tRNA,322
tRNA-tRNA,317
kshv_microRNA-snRNA,258
lincRNA-pr-tr,253
miscRNA-pr-tr,207
kshv_microRNA-kshv_microRNA,202
lincRNA-lincRNA,195
pr-tr-snoRNA,150
pr-tr-snRNA,115
snRNA-tRNA,108
miscRNA-tRNA,101
kshv_microRNA-miscRNA,80
snRNA-snoRNA,74
miscRNA-snRNA,74
kshv_microRNA-lincRNA,69
snoRNA-tRNA,63
lincRNA-tRNA,48
miscRNA-snoRNA,34
kshv_microRNA-snoRNA,28
lincRNA-snoRNA,24
lincRNA-snRNA,21
Ig-mRNA,14
lincRNA-miscRNA,13
miRNA-Ig,11
Ig-pseudogene,1
Trec-mRNA,1
Ig-kshv_microRNA,1
