seg_type,count
mRNA,581169
miRNA,355782
pseudogene,107624
kshv-miRNA,23419
pr-tr,13497
tRNA,7707
miscRNA,3126
mitoch-rRNA,2188
snRNA,2058
snoRNA,1510
lincRNA,1351
Ig,5
