seg_type,count
mRNA,491589
miRNA,286470
pseudogene,192750
pr-tr,12314
tRNA,7885
mitoch-rRNA,5825
snRNA,4362
miscRNA,3645
snoRNA,3206
lincRNA,1358
kshv-miRNA,83
Ig,7
