hybrid_type,count
miRNA-mRNA,847415
mRNA-mRNA,548037
miRNA-pseudogene,211912
mRNA-pseudogene,203792
pseudogene-pseudogene,116610
miRNA-miRNA,107321
miRNA-pr-tr,21539
mRNA-tRNA,17314
mRNA-pr-tr,15160
pseudogene-tRNA,11327
kshv_microRNA-mRNA,10699
miRNA-tRNA,8317
miRNA-snRNA,6294
miRNA-miscRNA,5820
pr-tr-pseudogene,5468
pr-tr-pr-tr,4977
mRNA-miscRNA,4678
miscRNA-pseudogene,3572
mRNA-snRNA,3260
pseudogene-snRNA,3130
miRNA-snoRNA,2913
miRNA-lincRNA,2575
lincRNA-mRNA,2176
miRNA-kshv_microRNA,2168
mRNA-snoRNA,2099
kshv_microRNA-pseudogene,2061
pseudogene-snoRNA,1802
snoRNA-snoRNA,1603
lincRNA-pseudogene,891
miscRNA-miscRNA,833
snRNA-snRNA,683
pr-tr-tRNA,334
kshv_microRNA-pr-tr,276
tRNA-tRNA,241
lincRNA-pr-tr,220
miscRNA-pr-tr,184
lincRNA-lincRNA,163
pr-tr-snoRNA,142
kshv_microRNA-tRNA,139
pr-tr-snRNA,108
miscRNA-tRNA,101
kshv_microRNA-snRNA,96
snRNA-tRNA,88
kshv_microRNA-kshv_microRNA,80
snRNA-snoRNA,72
snoRNA-tRNA,62
miscRNA-snRNA,62
lincRNA-tRNA,44
kshv_microRNA-miscRNA,44
miscRNA-snoRNA,34
kshv_microRNA-lincRNA,32
lincRNA-snRNA,21
lincRNA-snoRNA,21
Ig-mRNA,14
lincRNA-miscRNA,13
kshv_microRNA-snoRNA,8
miRNA-Ig,7
Ig-pseudogene,1
Trec-mRNA,1
