seg_type,count
mRNA,1234484
miRNA,759920
pseudogene,393282
pr-tr,30209
tRNA,22661
miscRNA,10093
snRNA,8758
snoRNA,6254
lincRNA,3593
kshv_microRNA,60
Ig,12
