hybrid_type,count
miRNA-mRNA,1770174
mRNA-mRNA,1056883
miRNA-pseudogene,399855
mRNA-pseudogene,360289
miRNA-miRNA,212658
pseudogene-pseudogene,182763
kshv_microRNA-mRNA,55934
miRNA-pr-tr,44607
mRNA-tRNA,30341
mRNA-pr-tr,28876
pseudogene-tRNA,18727
miRNA-tRNA,15182
miRNA-kshv_microRNA,14462
kshv_microRNA-pseudogene,14185
miRNA-miscRNA,11974
miRNA-snRNA,10500
pr-tr-pseudogene,9395
pr-tr-pr-tr,9199
mRNA-miscRNA,8735
miscRNA-pseudogene,6001
miRNA-snoRNA,5692
miRNA-lincRNA,5315
mRNA-snRNA,5190
pseudogene-snRNA,4459
mRNA-snoRNA,4218
lincRNA-mRNA,4136
pseudogene-snoRNA,3128
snoRNA-snoRNA,2432
lincRNA-pseudogene,1547
kshv_microRNA-pr-tr,1527
miscRNA-miscRNA,1339
snRNA-snRNA,875
kshv_microRNA-tRNA,772
pr-tr-tRNA,651
kshv_microRNA-kshv_microRNA,642
tRNA-tRNA,505
kshv_microRNA-snRNA,485
lincRNA-pr-tr,381
lincRNA-lincRNA,315
miscRNA-pr-tr,285
kshv_microRNA-miscRNA,266
pr-tr-snoRNA,195
kshv_microRNA-lincRNA,163
pr-tr-snRNA,137
snRNA-tRNA,121
miscRNA-tRNA,119
kshv_microRNA-snoRNA,119
snRNA-snoRNA,115
snoRNA-tRNA,91
miscRNA-snRNA,84
lincRNA-tRNA,70
miscRNA-snoRNA,50
Ig-mRNA,36
lincRNA-snoRNA,32
lincRNA-snRNA,21
miRNA-Ig,18
lincRNA-miscRNA,17
Trec-mRNA,2
Ig-pseudogene,1
Ig-kshv_microRNA,1
miRNA-Trec,1
