seg_type,count
mRNA,5182730
miRNA,3179876
pseudogene,1423469
pr-tr,123909
kshv_microRNA,100102
tRNA,82634
miscRNA,35889
snRNA,26488
snoRNA,21234
lincRNA,14654
Ig,60
Trec,5
