hybrid_type,count
miRNA-mRNA,477889
mRNA-mRNA,306410
miRNA-pseudogene,123461
mRNA-pseudogene,117885
pseudogene-pseudogene,68212
miRNA-miRNA,65049
miRNA-pr-tr,12247
mRNA-tRNA,10212
mRNA-pr-tr,8474
pseudogene-tRNA,6512
miRNA-tRNA,5202
miRNA-snRNA,4032
miRNA-miscRNA,3676
pr-tr-pseudogene,3319
mRNA-miscRNA,2812
pr-tr-pr-tr,2783
miscRNA-pseudogene,2248
mRNA-snRNA,1859
miRNA-snoRNA,1821
pseudogene-snRNA,1770
miRNA-lincRNA,1485
lincRNA-mRNA,1246
mRNA-snoRNA,1245
pseudogene-snoRNA,1111
snoRNA-snoRNA,935
miscRNA-miscRNA,564
lincRNA-pseudogene,533
snRNA-snRNA,429
pr-tr-tRNA,204
tRNA-tRNA,160
lincRNA-pr-tr,132
miscRNA-pr-tr,102
pr-tr-snoRNA,88
snRNA-tRNA,79
pr-tr-snRNA,77
miscRNA-tRNA,71
lincRNA-lincRNA,66
snRNA-snoRNA,46
kshv_microRNA-mRNA,31
snoRNA-tRNA,31
miscRNA-snoRNA,31
lincRNA-tRNA,30
kshv_microRNA-pseudogene,19
miscRNA-snRNA,19
lincRNA-snRNA,18
lincRNA-snoRNA,11
Ig-mRNA,11
miRNA-kshv_microRNA,8
lincRNA-miscRNA,6
miRNA-Ig,1
kshv_microRNA-kshv_microRNA,1
