seg_type,count
mRNA,4381697
miRNA,2703096
pseudogene,1183113
pr-tr,104452
kshv_microRNA,89198
tRNA,67084
miscRNA,30209
snRNA,22862
snoRNA,18504
lincRNA,12312
Ig,56
Trec,3
