seg_type,count
mRNA,802573
miRNA,479204
pseudogene,241614
pr-tr,19512
tRNA,15646
kshv-miRNA,10957
mitoch-rRNA,6019
miscRNA,5709
snRNA,3648
snoRNA,2737
lincRNA,2345
Ig,4
Trec,2
