hybrid_type,count
miRNA-mRNA,122830
mRNA-mRNA,63861
miRNA-pseudogene,36673
mRNA-pseudogene,23512
miRNA-miRNA,16568
pseudogene-pseudogene,14374
kshv-miRNA-mRNA,3969
miRNA-pr-tr,3122
kshv-miRNA-pseudogene,1732
mRNA-tRNA,1581
mRNA-pr-tr,1507
pseudogene-tRNA,1278
miRNA-kshv-miRNA,1219
miRNA-mitoch-rRNA,1027
miRNA-tRNA,1008
miRNA-miscRNA,962
pr-tr-pseudogene,584
miRNA-snRNA,582
mRNA-miscRNA,519
pr-tr-pr-tr,481
miRNA-snoRNA,458
miscRNA-pseudogene,444
mRNA-mitoch-rRNA,411
miRNA-lincRNA,335
mitoch-rRNA-pseudogene,328
pseudogene-snRNA,236
pseudogene-snoRNA,220
lincRNA-mRNA,209
mRNA-snoRNA,198
mRNA-snRNA,193
snoRNA-snoRNA,138
mitoch-rRNA-mitoch-rRNA,92
kshv-miRNA-pr-tr,91
lincRNA-pseudogene,87
kshv-miRNA-tRNA,78
kshv-miRNA-snRNA,48
miscRNA-miscRNA,48
kshv-miRNA-kshv-miRNA,47
kshv-miRNA-mitoch-rRNA,36
tRNA-tRNA,33
mitoch-rRNA-tRNA,32
pr-tr-tRNA,27
miscRNA-snRNA,25
lincRNA-pr-tr,15
mitoch-rRNA-pr-tr,13
kshv-miRNA-lincRNA,12
miscRNA-pr-tr,12
lincRNA-lincRNA,9
mitoch-rRNA-snoRNA,8
pr-tr-snoRNA,7
lincRNA-miscRNA,7
kshv-miRNA-snoRNA,6
kshv-miRNA-miscRNA,6
mitoch-rRNA-snRNA,6
snRNA-snRNA,5
snRNA-snoRNA,5
lincRNA-mitoch-rRNA,3
snRNA-tRNA,3
pr-tr-snRNA,2
miscRNA-mitoch-rRNA,2
snoRNA-tRNA,1
miscRNA-snoRNA,1
lincRNA-snoRNA,1
lincRNA-snRNA,1
