seg_type,count
mRNA,5474651
miRNA,3397482
pseudogene,1524133
pr-tr,130537
kshv-miRNA,107730
tRNA,87257
mitoch-rRNA,39169
miscRNA,38144
snRNA,27704
snoRNA,22498
lincRNA,15364
Ig,60
Trec,5
