seg_type,count
mRNA,3652870
miRNA,2247796
pseudogene,988869
pr-tr,87663
kshv_microRNA,77647
tRNA,56570
miscRNA,25684
snRNA,19406
snoRNA,15177
lincRNA,10042
Ig,51
Trec,1
