seg_type,count
mRNA,2202682
miRNA,1323602
pseudogene,677176
pr-tr,53385
tRNA,38208
miscRNA,16174
kshv_microRNA,15683
snRNA,14497
snoRNA,10359
lincRNA,6319
Ig,22
Trec,1
