seg_type,count
mRNA,2783385
miRNA,1678265
pseudogene,784539
pr-tr,66865
tRNA,45896
kshv_microRNA,39025
miscRNA,19293
snRNA,16550
snoRNA,11866
lincRNA,7668
Ig,27
Trec,1
