seg_type,count
mRNA,823897
miRNA,468492
pseudogene,247256
pr-tr,20353
tRNA,14355
miscRNA,7024
snRNA,6437
snoRNA,4295
lincRNA,2471
KSHV-miRNA,32
Ig,12
