seg_type,count
mRNA,490351
miRNA,283907
pseudogene,191503
pr-tr,12261
tRNA,7813
snRNA,4326
miscRNA,3599
snoRNA,3190
lincRNA,1354
kshv-miRNA,83
Ig,7
