seg_type,count
mRNA,478608
miRNA,280951
pseudogene,92720
kshv-miRNA,15621
pr-tr,10931
tRNA,7776
mitoch-rRNA,2604
miscRNA,2487
snRNA,1416
lincRNA,1375
snoRNA,919
Ig,3
Trec,1
