seg_type,count
mRNA,411665
miRNA,293483
pseudogene,146797
pr-tr,9888
tRNA,8377
mitoch-rRNA,4323
miscRNA,3080
snRNA,2334
snoRNA,1968
lincRNA,1123
kshv-miRNA,28
