seg_type,count
mRNA,825988
miRNA,471232
pseudogene,248755
pr-tr,20420
tRNA,14507
mitoch-rRNA,7427
miscRNA,7069
snRNA,6447
snoRNA,4319
lincRNA,2476
kshv-miRNA,32
Ig,12
