seg_type,count
mRNA,49184730
miRNA,30421809
pseudogene,13652847
pr-tr,1172142
kshv_microRNA,966213
tRNA,780084
miscRNA,341649
snRNA,248337
snoRNA,201663
lincRNA,138051
Ig,540
Trec,45
