seg_type,count
mRNA,1724835
miRNA,1043827
pseudogene,584785
pr-tr,42470
tRNA,30474
miscRNA,13692
snRNA,13084
snoRNA,9444
lincRNA,4947
kshv_microRNA,143
Ig,19
