seg_type,count
mRNA,870376
miRNA,571556
pseudogene,204884
kshv-miRNA,38715
pr-tr,20818
tRNA,10708
miscRNA,6405
mitoch-rRNA,3910
snoRNA,3319
snRNA,2863
lincRNA,2376
Ig,24
