seg_type,count
mRNA,730032
miRNA,457452
pseudogene,195147
pr-tr,16815
kshv-miRNA,11584
tRNA,10577
mitoch-rRNA,4823
miscRNA,4549
snRNA,3465
snoRNA,3339
lincRNA,2272
Ig,5
Trec,2
