hybrid_type,count
miRNA-mRNA,302588
mRNA-mRNA,212202
mRNA-pseudogene,78452
miRNA-pseudogene,71971
pseudogene-pseudogene,43480
miRNA-miRNA,37855
miRNA-pr-tr,7750
mRNA-tRNA,7090
mRNA-pr-tr,5995
pseudogene-tRNA,3773
miRNA-tRNA,2988
miRNA-snRNA,2835
miRNA-mitoch-rRNA,2740
miRNA-miscRNA,2394
pr-tr-pseudogene,2193
mRNA-miscRNA,2103
mRNA-mitoch-rRNA,2091
pr-tr-pr-tr,1982
miscRNA-pseudogene,1536
mitoch-rRNA-pseudogene,1499
mRNA-snRNA,1445
miRNA-snoRNA,1285
pseudogene-snRNA,1228
miRNA-lincRNA,965
mRNA-snoRNA,901
lincRNA-mRNA,896
pseudogene-snoRNA,750
snoRNA-snoRNA,602
miscRNA-miscRNA,413
mitoch-rRNA-mitoch-rRNA,397
lincRNA-pseudogene,380
snRNA-snRNA,364
pr-tr-tRNA,163
mitoch-rRNA-tRNA,152
lincRNA-pr-tr,95
tRNA-tRNA,81
snRNA-tRNA,75
miscRNA-pr-tr,72
mitoch-rRNA-pr-tr,67
pr-tr-snRNA,63
pr-tr-snoRNA,58
miscRNA-tRNA,54
lincRNA-lincRNA,45
miscRNA-mitoch-rRNA,45
snRNA-snoRNA,37
snoRNA-tRNA,27
miscRNA-snoRNA,25
mitoch-rRNA-snoRNA,24
lincRNA-tRNA,23
lincRNA-snRNA,13
kshv-miRNA-pseudogene,13
miscRNA-snRNA,13
kshv-miRNA-mRNA,12
Ig-mRNA,11
mitoch-rRNA-snRNA,10
lincRNA-snoRNA,8
lincRNA-mitoch-rRNA,5
miRNA-kshv-miRNA,5
lincRNA-miscRNA,1
miRNA-Ig,1
kshv-miRNA-kshv-miRNA,1
