seg_type,count
mRNA,282651
miRNA,201352
pseudogene,93842
kshv-miRNA,7291
pr-tr,6342
tRNA,4074
miscRNA,2074
mitoch-rRNA,2050
snoRNA,1181
snRNA,1111
lincRNA,688
