mirna,mirna_type,target,target_type,count
mirna,-,total,-,8
kshv-miR-K12-10a*,kshv_microRNA,ENSG00000233276_ENST00000419349_GPX1_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv_microRNA,ENSG00000233276_ENST00000419783_GPX1_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv_microRNA,ENSG00000173065_ENST00000452648_C17orf63_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv_microRNA,ENSG00000173065_ENST00000341217_C17orf63_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv_microRNA,ENSG00000239935_ENST00000489202_AC116340-1_pseudo,pseudogene,1
kshv-miR-K12-10a*,kshv_microRNA,ENSG00000187109_ENST00000261182_NAP1L1_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv_microRNA,ENSG00000187109_ENST00000393263_NAP1L1_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv_microRNA,kshv-miR-K12-10a,kshv_microRNA,1
