mirna,mirna_type,target,target_type,count
kshv-miR-K12-10a,kshv-miRNA,ENSG00000042493_ENST00000409670_CAPG_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000042493_ENST00000263867_CAPG_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,MIMAT0000256_MirBase_miR-181a_microRNA,miRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000241376_ENST00000492060_AL606830-1_pseudo,pseudogene,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000158615_ENST00000367188_PPP1R15B_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000201271_ENST00000364401_U1_snRNA,snRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000105939_ENST00000242351_ZC3HAV1_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000183354_ENST00000399933_KIAA2026_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000087460_ENST00000371082_GNAS_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000087460_ENST00000371095_GNAS_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000087460_ENST00000265620_GNAS_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000087460_ENST00000306090_GNAS_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000087460_ENST00000354359_GNAS_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000087460_ENST00000371085_GNAS_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000169710_ENST00000306749_FASN_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000139197_ENST00000266563_PEX5_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000139197_ENST00000434354_PEX5_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000139197_ENST00000266564_PEX5_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000139197_ENST00000420616_PEX5_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000139197_ENST00000412720_PEX5_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000114302_ENST00000265563_PRKAR2A_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000014216_ENST00000279247_CAPN1_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000204138_ENST00000373839_PHACTR4_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000204138_ENST00000373836_PHACTR4_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000204138_ENST00000373837_PHACTR4_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000242693_ENST00000492032_AC108047-1_pseudo,pseudogene,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000188229_ENST00000340384_TUBB2C_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000138036_ENST00000260605_DYNC2LI1_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000138036_ENST00000406852_DYNC2LI1_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000138036_ENST00000443170_DYNC2LI1_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,MIMAT0000068_MirBase_miR-15a_microRNA,miRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000183431_ENST00000373019_SF3A3_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,kshv-miR-K12-3,kshv-miRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000131473_ENST00000353196_ACLY_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000131473_ENST00000401700_ACLY_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000131473_ENST00000352035_ACLY_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000242932_ENST00000495608_AC022716-1_pseudo,pseudogene,2
kshv-miR-K12-10a,kshv-miRNA,MIMAT0000062_MirBase_let-7a_microRNA,miRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000145555_ENST00000513610_MYO10_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000173821_ENST00000508628_RNF213_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000099341_ENST00000215071_PSMD8_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000159921_ENST00000447283_GNE_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000132466_ENST00000358602_ANKRD17_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000132466_ENST00000330838_ANKRD17_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000127838_ENST00000258362_PNKD_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000127838_ENST00000273077_PNKD_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000175592_ENST00000312562_FOSL1_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000137497_ENST00000393695_NUMA1_mRNA,mRNA,2
kshv-miR-K12-10a,kshv-miRNA,ENSG00000175220_ENST00000311956_ARHGAP1_mRNA,mRNA,2
