mirna,target_count
kshv-miR-K12-7,3382
kshv-miR-K12-10a,9193
kshv-miR-K12-4-3p,12962
kshv-miR-K12-11,3239
kshv-miR-K12-8,4762
kshv-miR-K12-9*,6482
kshv-miR-K12-1,3933
kshv-miR-K12-3,17564
kshv-miR-K12-6-3p,5128
kshv-miR-K12-12,3430
kshv-miR-K12-8*,3124
kshv-miR-K12-2,2723
kshv-miR-K12-12*,13264
kshv-miR-K12-6-5p,3442
kshv-miR-K12-5,538
kshv-miR-K12-10b,3465
kshv-miR-K12-10a*,60
kshv-miR-K12-3*,190
kshv-miR-K12-7*,71
kshv-miR-K12-4-5p,898
kshv-miR-K12-1*,12
kshv-miR-K12-2*,7
