2,2
1,7
0,41
-1,211
-2,629
-3,1124
-4,1904
-5,2955
-6,4172
-7,5880
-8,6793
-9,8111
-10,9178
-11,10306
-12,10154
-13,9451
-14,7931
-15,8009
-16,6780
-17,5949
-18,4854
-19,3715
-20,2848
-21,1911
-22,1287
-23,905
-24,516
-25,386
-26,235
-27,126
-28,55
-29,27
-30,12
-31,5
-32,1
-33,2
-34,0
-35,1
