miRNA--mRNA,193186
mRNA--mRNA,61131
miRNA--miRNA,47796
miRNA--pseudogene,41141
pseudogene--pseudogene,12973
mRNA--pseudogene,11891
KSHV-miRNA--mRNA,11474
pseudogene--mRNA,8788
mRNA--miRNA,8445
KSHV-miRNA--pseudogene,3954
miRNA--KSHV-miRNA,3745
KSHV-miRNA--miRNA,3540
miRNA--pr-tr,2995
pseudogene--miRNA,2129
miRNA--snoRNA,932
mRNA--KSHV-miRNA,839
miRNA--tRNA,776
tRNA--mRNA,679
miRNA--miscRNA,588
miRNA--lincRNA,539
mRNA--pr-tr,522
pr-tr--mRNA,492
miRNA--snRNA,475
KSHV-miRNA--KSHV-miRNA,389
tRNA--pseudogene,376
pr-tr--pr-tr,324
miscRNA--mRNA,318
snoRNA--mRNA,314
pseudogene--KSHV-miRNA,284
snoRNA--pseudogene,251
miscRNA--pseudogene,218
snoRNA--miRNA,209
mRNA--tRNA,204
KSHV-miRNA--pr-tr,187
pr-tr--pseudogene,179
tRNA--miRNA,165
pr-tr--miRNA,140
pseudogene--pr-tr,132
miscRNA--miRNA,126
pseudogene--tRNA,122
lincRNA--mRNA,116
KSHV-miRNA--tRNA,115
snoRNA--snoRNA,101
mRNA--lincRNA,101
mRNA--snoRNA,83
mRNA--snRNA,80
lincRNA--miRNA,65
mRNA--miscRNA,62
pseudogene--snoRNA,58
KSHV-miRNA--snoRNA,54
pseudogene--snRNA,54
lincRNA--pseudogene,49
snRNA--mRNA,46
pseudogene--miscRNA,41
KSHV-miRNA--lincRNA,39
lincRNA--lincRNA,35
KSHV-miRNA--snRNA,33
snRNA--pseudogene,33
miscRNA--miscRNA,29
KSHV-miRNA--miscRNA,29
snRNA--miRNA,27
tRNA--tRNA,24
pseudogene--lincRNA,22
pr-tr--KSHV-miRNA,18
tRNA--KSHV-miRNA,16
snoRNA--KSHV-miRNA,15
tRNA--pr-tr,13
snRNA--snRNA,13
miscRNA--KSHV-miRNA,11
pr-tr--lincRNA,8
snoRNA--snRNA,7
lincRNA--pr-tr,7
miRNA--Ig,5
miscRNA--pr-tr,5
tRNA--snoRNA,4
snoRNA--pr-tr,4
snRNA--KSHV-miRNA,4
mRNA--Ig,3
pr-tr--tRNA,3
snoRNA--tRNA,3
lincRNA--KSHV-miRNA,3
pr-tr--snoRNA,2
snoRNA--lincRNA,2
snoRNA--miscRNA,2
tRNA--miscRNA,2
Ig--mRNA,2
tRNA--lincRNA,2
pr-tr--miscRNA,2
lincRNA--snoRNA,1
miscRNA--lincRNA,1
miscRNA--snoRNA,1
